配置ID,第2口觸發點,第2口回檔率,第3口觸發點,總P&L,LONG_P&L,SHORT_P&L,總交易次數,LONG交易次數,SHORT交易次數,總勝率,LONG勝率,SHORT勝率,執行時間
1,30,10%,40,1725.8,793.1,932.7,134,75,59,59.7%,60.0%,59.3%,0.526s
2,30,10%,41,1777.0,804.3,972.7,134,75,59,59.7%,60.0%,59.3%,0.445s
3,30,10%,42,1570.7,671.7,899.0,131,73,58,58.8%,58.9%,58.6%,0.440s
4,30,10%,43,1544.1,613.9,930.2,130,72,58,58.5%,58.3%,58.6%,0.524s
5,30,10%,44,1562.5,613.9,948.6,130,72,58,58.5%,58.3%,58.6%,0.447s
6,30,10%,45,1393.5,478.4,915.1,129,71,58,57.4%,56.3%,58.6%,0.505s
7,30,10%,46,1430.3,479.2,951.1,129,71,58,57.4%,56.3%,58.6%,0.534s
8,30,10%,47,1401.2,524.0,877.2,128,71,57,57.0%,56.3%,57.9%,0.777s
9,30,10%,48,1425.2,531.2,894.0,128,71,57,57.0%,56.3%,57.9%,0.501s
10,30,10%,49,1296.5,387.3,909.2,127,70,57,56.7%,55.7%,57.9%,0.535s
11,30,10%,50,1282.7,338.3,944.4,127,70,57,55.9%,54.3%,57.9%,0.441s
12,30,10%,51,1327.5,363.9,963.6,127,70,57,55.9%,54.3%,57.9%,0.677s
13,30,10%,52,1405.9,438.3,967.6,127,70,57,55.9%,54.3%,57.9%,0.579s
14,30,10%,53,1463.5,483.1,980.4,127,70,57,55.9%,54.3%,57.9%,0.480s
15,30,10%,54,1252.4,323.9,928.5,125,69,56,55.2%,53.6%,57.1%,0.971s
16,30,10%,55,1288.4,332.7,955.7,125,69,56,55.2%,53.6%,57.1%,0.548s
17,30,10%,56,1400.4,422.3,978.1,125,69,56,55.2%,53.6%,57.1%,0.531s
18,30,10%,57,1297.7,355.6,942.1,124,68,56,54.8%,52.9%,57.1%,0.493s
19,30,10%,58,1324.9,363.6,961.3,124,68,56,54.8%,52.9%,57.1%,0.569s
20,30,10%,59,1354.5,390.0,964.5,124,68,56,54.8%,52.9%,57.1%,0.451s
21,30,10%,60,1398.5,394.8,1003.7,124,68,56,54.8%,52.9%,57.1%,0.449s
22,30,15%,40,1587.5,718.9,868.5,134,75,59,59.7%,60.0%,59.3%,0.561s
23,30,15%,41,1638.7,730.1,908.5,134,75,59,59.7%,60.0%,59.3%,0.753s
24,30,15%,42,1438.3,601.4,836.9,131,73,58,58.8%,58.9%,58.6%,0.450s
25,30,15%,43,1413.5,545.3,868.1,130,72,58,58.5%,58.3%,58.6%,0.521s
26,30,15%,44,1431.9,545.3,886.5,130,72,58,58.5%,58.3%,58.6%,0.465s
27,30,15%,45,1266.5,411.9,854.6,129,71,58,57.4%,56.3%,58.6%,0.434s
28,30,15%,46,1303.2,412.7,890.6,129,71,58,57.4%,56.3%,58.6%,0.439s
29,30,15%,47,1275.9,457.5,818.4,128,71,57,57.0%,56.3%,57.9%,0.440s
30,30,15%,48,1299.9,464.7,835.2,128,71,57,57.0%,56.3%,57.9%,0.496s
31,30,15%,49,1175.2,324.7,850.4,127,70,57,56.7%,55.7%,57.9%,0.490s
32,30,15%,50,1161.3,275.7,885.6,127,70,57,55.9%,54.3%,57.9%,0.480s
33,30,15%,51,1206.2,301.3,904.8,127,70,57,55.9%,54.3%,57.9%,0.454s
34,30,15%,52,1284.6,375.8,908.8,127,70,57,55.9%,54.3%,57.9%,0.561s
35,30,15%,53,1342.2,420.6,921.6,127,70,57,55.9%,54.3%,57.9%,0.471s
36,30,15%,54,1137.0,265.8,871.3,125,69,56,55.2%,53.6%,57.1%,0.433s
37,30,15%,55,1173.0,274.6,898.5,125,69,56,55.2%,53.6%,57.1%,0.436s
38,30,15%,56,1285.0,364.2,920.8,125,69,56,55.2%,53.6%,57.1%,0.482s
39,30,15%,57,1185.7,299.2,886.5,124,68,56,54.8%,52.9%,57.1%,0.437s
40,30,15%,58,1212.9,307.2,905.7,124,68,56,54.8%,52.9%,57.1%,0.492s
41,30,15%,59,1242.5,333.6,908.9,124,68,56,54.8%,52.9%,57.1%,0.437s
42,30,15%,60,1286.5,338.4,948.1,124,68,56,54.8%,52.9%,57.1%,0.449s
43,30,20%,40,1449.2,644.8,804.4,134,75,59,59.7%,60.0%,59.3%,0.495s
44,30,20%,41,1500.4,656.0,844.4,134,75,59,59.7%,60.0%,59.3%,0.472s
45,30,20%,42,1306.0,531.2,774.8,131,73,58,58.8%,58.9%,58.6%,0.588s
46,30,20%,43,1282.8,476.8,806.0,130,72,58,58.5%,58.3%,58.6%,0.473s
47,30,20%,44,1301.2,476.8,824.4,130,72,58,58.5%,58.3%,58.6%,0.478s
48,30,20%,45,1139.4,345.4,794.0,129,71,58,57.4%,56.3%,58.6%,0.481s
49,30,20%,46,1176.2,346.2,830.0,129,71,58,57.4%,56.3%,58.6%,0.462s
50,30,20%,47,1150.6,391.0,759.6,128,71,57,57.0%,56.3%,57.9%,0.508s
51,30,20%,48,1174.6,398.2,776.4,128,71,57,57.0%,56.3%,57.9%,0.686s
52,30,20%,49,1053.8,262.2,791.6,127,70,57,56.7%,55.7%,57.9%,0.455s
53,30,20%,50,1040.0,213.2,826.8,127,70,57,55.9%,54.3%,57.9%,0.479s
54,30,20%,51,1084.8,238.8,846.0,127,70,57,55.9%,54.3%,57.9%,0.592s
55,30,20%,52,1163.2,313.2,850.0,127,70,57,55.9%,54.3%,57.9%,0.475s
56,30,20%,53,1220.8,358.0,862.8,127,70,57,55.9%,54.3%,57.9%,0.478s
57,30,20%,54,1021.6,207.6,814.0,125,69,56,55.2%,53.6%,57.1%,0.494s
58,30,20%,55,1057.6,216.4,841.2,125,69,56,55.2%,53.6%,57.1%,0.549s
59,30,20%,56,1169.6,306.0,863.6,125,69,56,55.2%,53.6%,57.1%,0.482s
60,30,20%,57,1073.6,242.8,830.8,124,68,56,54.8%,52.9%,57.1%,0.458s
61,30,20%,58,1100.8,250.8,850.0,124,68,56,54.8%,52.9%,57.1%,0.452s
62,30,20%,59,1130.4,277.2,853.2,124,68,56,54.8%,52.9%,57.1%,0.486s
63,30,20%,60,1174.4,282.0,892.4,124,68,56,54.8%,52.9%,57.1%,0.441s
64,30,25%,40,1310.9,570.6,740.2,134,75,59,59.7%,60.0%,59.3%,0.498s
65,30,25%,41,1362.1,581.8,780.2,134,75,59,59.7%,60.0%,59.3%,0.474s
66,30,25%,42,1173.7,460.9,712.7,131,73,58,58.8%,58.9%,58.6%,0.506s
67,30,25%,43,1152.2,408.2,743.9,130,72,58,58.5%,58.3%,58.6%,0.491s
68,30,25%,44,1170.6,408.2,762.3,130,72,58,58.5%,58.3%,58.6%,0.467s
69,30,25%,45,1012.4,278.9,733.5,129,71,58,57.4%,56.3%,58.6%,0.467s
70,30,25%,46,1049.2,279.7,769.5,129,71,58,57.4%,56.3%,58.6%,0.460s
71,30,25%,47,1025.3,324.5,700.8,128,71,57,57.0%,56.3%,57.9%,0.494s
72,30,25%,48,1049.3,331.7,717.6,128,71,57,57.0%,56.3%,57.9%,0.487s
73,30,25%,49,932.5,199.6,732.8,127,70,57,56.7%,55.7%,57.9%,0.455s
74,30,25%,50,918.6,150.6,768.0,127,70,57,55.9%,54.3%,57.9%,0.481s
75,30,25%,51,963.5,176.2,787.2,127,70,57,55.9%,54.3%,57.9%,0.450s
76,30,25%,52,1041.9,250.7,791.2,127,70,57,55.9%,54.3%,57.9%,0.506s
77,30,25%,53,1099.5,295.5,804.0,127,70,57,55.9%,54.3%,57.9%,0.442s
78,30,25%,54,906.2,149.5,756.8,125,69,56,55.2%,53.6%,57.1%,0.449s
79,30,25%,55,942.2,158.3,783.9,125,69,56,55.2%,53.6%,57.1%,0.446s
80,30,25%,56,1054.2,247.9,806.3,125,69,56,55.2%,53.6%,57.1%,0.530s
81,30,25%,57,961.6,186.4,775.1,124,68,56,54.8%,52.9%,57.1%,0.451s
82,30,25%,58,988.8,194.4,794.4,124,68,56,54.8%,52.9%,57.1%,0.502s
83,30,25%,59,1018.4,220.8,797.6,124,68,56,54.8%,52.9%,57.1%,0.666s
84,30,25%,60,1062.3,225.6,836.8,124,68,56,54.8%,52.9%,57.1%,0.512s
85,30,30%,40,1172.6,496.5,676.1,134,75,59,59.7%,60.0%,59.3%,0.446s
86,30,30%,41,1223.8,507.7,716.1,134,75,59,59.7%,60.0%,59.3%,0.478s
87,30,30%,42,1041.3,390.7,650.6,131,73,58,58.8%,58.9%,58.6%,0.489s
88,30,30%,43,1021.5,339.7,681.8,130,72,58,58.5%,58.3%,58.6%,0.630s
89,30,30%,44,1039.9,339.7,700.2,130,72,58,58.5%,58.3%,58.6%,0.494s
90,30,30%,45,885.3,212.4,672.9,129,71,58,57.4%,56.3%,58.6%,0.461s
91,30,30%,46,922.1,213.2,708.9,129,71,58,57.4%,56.3%,58.6%,0.471s
92,30,30%,47,900.0,258.0,642.0,128,71,57,57.0%,56.3%,57.9%,0.463s
93,30,30%,48,924.0,265.2,658.8,128,71,57,57.0%,56.3%,57.9%,0.466s
94,30,30%,49,811.1,137.1,674.0,127,70,57,56.7%,55.7%,57.9%,0.494s
95,30,30%,50,797.3,88.1,709.2,127,70,57,55.9%,54.3%,57.9%,0.485s
96,30,30%,51,842.1,113.7,728.4,127,70,57,55.9%,54.3%,57.9%,0.451s
97,30,30%,52,920.5,188.1,732.4,127,70,57,55.9%,54.3%,57.9%,0.439s
98,30,30%,53,978.1,232.9,745.2,127,70,57,55.9%,54.3%,57.9%,0.484s
99,30,30%,54,790.8,91.3,699.5,125,69,56,55.2%,53.6%,57.1%,0.446s
100,30,30%,55,826.8,100.1,726.7,125,69,56,55.2%,53.6%,57.1%,0.442s
101,30,30%,56,938.8,189.7,749.1,125,69,56,55.2%,53.6%,57.1%,0.442s
102,30,30%,57,849.5,130.0,719.5,124,68,56,54.8%,52.9%,57.1%,0.505s
103,30,30%,58,876.7,138.0,738.7,124,68,56,54.8%,52.9%,57.1%,0.441s
104,30,30%,59,906.3,164.4,741.9,124,68,56,54.8%,52.9%,57.1%,0.438s
105,30,30%,60,950.3,169.2,781.1,124,68,56,54.8%,52.9%,57.1%,0.463s
106,31,10%,40,1761.8,803.0,958.8,134,75,59,59.7%,60.0%,59.3%,0.496s
107,31,10%,41,1813.0,814.2,998.8,134,75,59,59.7%,60.0%,59.3%,0.509s
108,31,10%,42,1606.7,681.6,925.1,131,73,58,58.8%,58.9%,58.6%,0.447s
109,31,10%,43,1580.1,623.8,956.3,130,72,58,58.5%,58.3%,58.6%,0.736s
110,31,10%,44,1598.5,623.8,974.7,130,72,58,58.5%,58.3%,58.6%,0.458s
111,31,10%,45,1429.5,488.3,941.2,129,71,58,57.4%,56.3%,58.6%,0.451s
112,31,10%,46,1466.3,489.1,977.2,129,71,58,57.4%,56.3%,58.6%,0.503s
113,31,10%,47,1437.2,533.9,903.3,128,71,57,57.0%,56.3%,57.9%,0.554s
114,31,10%,48,1461.2,541.1,920.1,128,71,57,57.0%,56.3%,57.9%,0.732s
115,31,10%,49,1332.5,397.2,935.3,127,70,57,56.7%,55.7%,57.9%,0.487s
116,31,10%,50,1318.7,348.2,970.5,127,70,57,55.9%,54.3%,57.9%,0.494s
117,31,10%,51,1363.5,373.8,989.7,127,70,57,55.9%,54.3%,57.9%,0.546s
118,31,10%,52,1441.9,448.2,993.7,127,70,57,55.9%,54.3%,57.9%,0.469s
119,31,10%,53,1499.5,493.0,1006.5,127,70,57,55.9%,54.3%,57.9%,0.457s
120,31,10%,54,1288.4,333.8,954.6,125,69,56,55.2%,53.6%,57.1%,0.447s
121,31,10%,55,1324.4,342.6,981.8,125,69,56,55.2%,53.6%,57.1%,0.522s
122,31,10%,56,1436.4,432.2,1004.2,125,69,56,55.2%,53.6%,57.1%,0.505s
123,31,10%,57,1333.7,365.5,968.2,124,68,56,54.8%,52.9%,57.1%,0.596s
124,31,10%,58,1360.9,373.5,987.4,124,68,56,54.8%,52.9%,57.1%,0.523s
125,31,10%,59,1390.5,399.9,990.6,124,68,56,54.8%,52.9%,57.1%,0.538s
126,31,10%,60,1434.5,404.7,1029.8,124,68,56,54.8%,52.9%,57.1%,0.599s
127,31,15%,40,1621.5,728.3,893.2,134,75,59,59.7%,60.0%,59.3%,0.494s
128,31,15%,41,1672.7,739.5,933.2,134,75,59,59.7%,60.0%,59.3%,0.538s
129,31,15%,42,1472.3,610.8,861.6,131,73,58,58.8%,58.9%,58.6%,0.480s
130,31,15%,43,1447.5,554.7,892.8,130,72,58,58.5%,58.3%,58.6%,0.801s
131,31,15%,44,1465.9,554.7,911.2,130,72,58,58.5%,58.3%,58.6%,0.469s
132,31,15%,45,1300.5,421.2,879.2,129,71,58,57.4%,56.3%,58.6%,0.456s
133,31,15%,46,1337.2,422.0,915.2,129,71,58,57.4%,56.3%,58.6%,0.448s
134,31,15%,47,1309.9,466.8,843.1,128,71,57,57.0%,56.3%,57.9%,0.497s
135,31,15%,48,1333.9,474.0,859.9,128,71,57,57.0%,56.3%,57.9%,0.455s
136,31,15%,49,1209.2,334.1,875.1,127,70,57,56.7%,55.7%,57.9%,0.441s
137,31,15%,50,1195.3,285.1,910.3,127,70,57,55.9%,54.3%,57.9%,0.442s
138,31,15%,51,1240.2,310.7,929.5,127,70,57,55.9%,54.3%,57.9%,0.528s
139,31,15%,52,1318.6,385.1,933.5,127,70,57,55.9%,54.3%,57.9%,0.435s
140,31,15%,53,1376.2,429.9,946.3,127,70,57,55.9%,54.3%,57.9%,0.460s
141,31,15%,54,1171.0,275.1,895.9,125,69,56,55.2%,53.6%,57.1%,0.452s
142,31,15%,55,1207.0,283.9,923.1,125,69,56,55.2%,53.6%,57.1%,0.483s
143,31,15%,56,1319.0,373.5,945.5,125,69,56,55.2%,53.6%,57.1%,0.437s
144,31,15%,57,1219.7,308.6,911.1,124,68,56,54.8%,52.9%,57.1%,1.059s
145,31,15%,58,1246.9,316.6,930.3,124,68,56,54.8%,52.9%,57.1%,0.831s
146,31,15%,59,1276.5,342.9,933.5,124,68,56,54.8%,52.9%,57.1%,0.493s
147,31,15%,60,1320.5,347.7,972.7,124,68,56,54.8%,52.9%,57.1%,0.470s
148,31,20%,40,1481.2,653.6,827.6,134,75,59,59.7%,60.0%,59.3%,0.480s
149,31,20%,41,1532.4,664.8,867.6,134,75,59,59.7%,60.0%,59.3%,0.497s
150,31,20%,42,1338.0,540.0,798.0,131,73,58,58.8%,58.9%,58.6%,0.464s
151,31,20%,43,1314.8,485.6,829.2,130,72,58,58.5%,58.3%,58.6%,0.444s
152,31,20%,44,1333.2,485.6,847.6,130,72,58,58.5%,58.3%,58.6%,0.457s
153,31,20%,45,1171.4,354.2,817.2,129,71,58,57.4%,56.3%,58.6%,0.488s
154,31,20%,46,1208.2,355.0,853.2,129,71,58,57.4%,56.3%,58.6%,0.448s
155,31,20%,47,1182.6,399.8,782.8,128,71,57,57.0%,56.3%,57.9%,0.455s
156,31,20%,48,1206.6,407.0,799.6,128,71,57,57.0%,56.3%,57.9%,0.464s
157,31,20%,49,1085.8,271.0,814.8,127,70,57,56.7%,55.7%,57.9%,0.446s
158,31,20%,50,1072.0,222.0,850.0,127,70,57,55.9%,54.3%,57.9%,0.487s
159,31,20%,51,1116.8,247.6,869.2,127,70,57,55.9%,54.3%,57.9%,0.449s
160,31,20%,52,1195.2,322.0,873.2,127,70,57,55.9%,54.3%,57.9%,0.478s
161,31,20%,53,1252.8,366.8,886.0,127,70,57,55.9%,54.3%,57.9%,0.447s
162,31,20%,54,1053.6,216.4,837.2,125,69,56,55.2%,53.6%,57.1%,0.490s
163,31,20%,55,1089.6,225.2,864.4,125,69,56,55.2%,53.6%,57.1%,0.441s
164,31,20%,56,1201.6,314.8,886.8,125,69,56,55.2%,53.6%,57.1%,0.449s
165,31,20%,57,1105.6,251.6,854.0,124,68,56,54.8%,52.9%,57.1%,0.462s
166,31,20%,58,1132.8,259.6,873.2,124,68,56,54.8%,52.9%,57.1%,0.442s
167,31,20%,59,1162.4,286.0,876.4,124,68,56,54.8%,52.9%,57.1%,0.487s
168,31,20%,60,1206.4,290.8,915.6,124,68,56,54.8%,52.9%,57.1%,0.451s
169,31,25%,40,1340.9,578.9,762.0,134,75,59,59.7%,60.0%,59.3%,0.437s
170,31,25%,41,1392.1,590.1,802.0,134,75,59,59.7%,60.0%,59.3%,0.549s
171,31,25%,42,1203.7,469.2,734.5,131,73,58,58.8%,58.9%,58.6%,0.519s
172,31,25%,43,1182.2,416.5,765.7,130,72,58,58.5%,58.3%,58.6%,0.465s
173,31,25%,44,1200.6,416.5,784.1,130,72,58,58.5%,58.3%,58.6%,0.444s
174,31,25%,45,1042.4,287.1,755.2,129,71,58,57.4%,56.3%,58.6%,0.454s
175,31,25%,46,1079.2,287.9,791.2,129,71,58,57.4%,56.3%,58.6%,0.488s
176,31,25%,47,1055.3,332.8,722.6,128,71,57,57.0%,56.3%,57.9%,0.446s
177,31,25%,48,1079.3,340.0,739.4,128,71,57,57.0%,56.3%,57.9%,0.443s
178,31,25%,49,962.5,207.9,754.6,127,70,57,56.7%,55.7%,57.9%,0.437s
179,31,25%,50,948.6,158.9,789.8,127,70,57,55.9%,54.3%,57.9%,0.439s
180,31,25%,51,993.5,184.5,809.0,127,70,57,55.9%,54.3%,57.9%,0.495s
181,31,25%,52,1071.9,258.9,813.0,127,70,57,55.9%,54.3%,57.9%,0.446s
182,31,25%,53,1129.5,303.7,825.8,127,70,57,55.9%,54.3%,57.9%,0.442s
183,31,25%,54,936.2,157.7,778.5,125,69,56,55.2%,53.6%,57.1%,0.438s
184,31,25%,55,972.2,166.5,805.7,125,69,56,55.2%,53.6%,57.1%,0.498s
185,31,25%,56,1084.2,256.1,828.1,125,69,56,55.2%,53.6%,57.1%,0.462s
186,31,25%,57,991.6,194.7,796.9,124,68,56,54.8%,52.9%,57.1%,0.437s
187,31,25%,58,1018.8,202.7,816.1,124,68,56,54.8%,52.9%,57.1%,0.435s
188,31,25%,59,1048.4,229.0,819.3,124,68,56,54.8%,52.9%,57.1%,0.436s
189,31,25%,60,1092.3,233.8,858.5,124,68,56,54.8%,52.9%,57.1%,0.479s
190,31,30%,40,1200.6,504.2,696.4,134,75,59,59.7%,60.0%,59.3%,0.453s
191,31,30%,41,1251.8,515.4,736.4,134,75,59,59.7%,60.0%,59.3%,0.446s
192,31,30%,42,1069.3,398.4,670.9,131,73,58,58.8%,58.9%,58.6%,0.441s
193,31,30%,43,1049.5,347.4,702.1,130,72,58,58.5%,58.3%,58.6%,0.439s
194,31,30%,44,1067.9,347.4,720.5,130,72,58,58.5%,58.3%,58.6%,0.483s
195,31,30%,45,913.3,220.1,693.2,129,71,58,57.4%,56.3%,58.6%,0.440s
196,31,30%,46,950.1,220.9,729.2,129,71,58,57.4%,56.3%,58.6%,0.483s
197,31,30%,47,928.0,265.7,662.3,128,71,57,57.0%,56.3%,57.9%,0.492s
198,31,30%,48,952.0,272.9,679.1,128,71,57,57.0%,56.3%,57.9%,0.707s
199,31,30%,49,839.1,144.8,694.3,127,70,57,56.7%,55.7%,57.9%,0.439s
200,31,30%,50,825.3,95.8,729.5,127,70,57,55.9%,54.3%,57.9%,0.440s
201,31,30%,51,870.1,121.4,748.7,127,70,57,55.9%,54.3%,57.9%,0.437s
202,31,30%,52,948.5,195.8,752.7,127,70,57,55.9%,54.3%,57.9%,0.484s
203,31,30%,53,1006.1,240.6,765.5,127,70,57,55.9%,54.3%,57.9%,0.441s
204,31,30%,54,818.8,99.0,719.8,125,69,56,55.2%,53.6%,57.1%,0.445s
205,31,30%,55,854.8,107.8,747.0,125,69,56,55.2%,53.6%,57.1%,0.450s
206,31,30%,56,966.8,197.4,769.4,125,69,56,55.2%,53.6%,57.1%,0.436s
207,31,30%,57,877.5,137.7,739.8,124,68,56,54.8%,52.9%,57.1%,0.494s
208,31,30%,58,904.7,145.7,759.0,124,68,56,54.8%,52.9%,57.1%,0.447s
209,31,30%,59,934.3,172.1,762.2,124,68,56,54.8%,52.9%,57.1%,0.458s
210,31,30%,60,978.3,176.9,801.4,124,68,56,54.8%,52.9%,57.1%,0.444s
211,32,10%,40,1863.5,857.9,1005.6,134,75,59,59.7%,60.0%,59.3%,0.441s
212,32,10%,41,1914.7,869.1,1045.6,134,75,59,59.7%,60.0%,59.3%,0.491s
213,32,10%,42,1708.4,736.5,971.9,131,73,58,58.8%,58.9%,58.6%,0.445s
214,32,10%,43,1681.8,678.7,1003.1,130,72,58,58.5%,58.3%,58.6%,0.440s
215,32,10%,44,1700.2,678.7,1021.5,130,72,58,58.5%,58.3%,58.6%,0.444s
216,32,10%,45,1595.9,543.2,1052.7,129,71,58,57.4%,56.3%,58.6%,0.501s
217,32,10%,46,1632.7,544.0,1088.7,129,71,58,57.4%,56.3%,58.6%,0.449s
218,32,10%,47,1614.8,588.8,1026.0,128,71,57,57.0%,56.3%,57.9%,0.468s
219,32,10%,48,1638.8,596.0,1042.8,128,71,57,57.0%,56.3%,57.9%,0.600s
220,32,10%,49,1470.0,412.0,1058.0,126,69,57,56.3%,55.1%,57.9%,0.539s
221,32,10%,50,1456.2,363.0,1093.2,126,69,57,55.6%,53.6%,57.9%,1.387s
222,32,10%,51,1501.0,388.6,1112.4,126,69,57,55.6%,53.6%,57.9%,0.954s
223,32,10%,52,1579.4,463.0,1116.4,126,69,57,55.6%,53.6%,57.9%,0.782s
224,32,10%,53,1637.0,507.8,1129.2,126,69,57,55.6%,53.6%,57.9%,0.542s
225,32,10%,54,1413.3,348.6,1064.7,124,68,56,54.8%,52.9%,57.1%,0.476s
226,32,10%,55,1449.3,357.4,1091.9,124,68,56,54.8%,52.9%,57.1%,0.816s
227,32,10%,56,1561.3,447.0,1114.3,124,68,56,54.8%,52.9%,57.1%,0.528s
228,32,10%,57,1458.6,380.3,1078.3,123,67,56,54.5%,52.2%,57.1%,0.444s
229,32,10%,58,1485.8,388.3,1097.5,123,67,56,54.5%,52.2%,57.1%,0.479s
230,32,10%,59,1515.4,414.7,1100.7,123,67,56,54.5%,52.2%,57.1%,0.459s
231,32,10%,60,1559.4,419.5,1139.9,123,67,56,54.5%,52.2%,57.1%,0.486s
232,32,15%,40,1717.5,780.1,937.4,134,75,59,59.7%,60.0%,59.3%,0.570s
233,32,15%,41,1768.7,791.3,977.4,134,75,59,59.7%,60.0%,59.3%,0.492s
234,32,15%,42,1568.4,662.6,905.8,131,73,58,58.8%,58.9%,58.6%,0.443s
235,32,15%,43,1543.5,606.5,937.0,130,72,58,58.5%,58.3%,58.6%,0.436s
236,32,15%,44,1561.9,606.5,955.4,130,72,58,58.5%,58.3%,58.6%,0.466s
237,32,15%,45,1459.7,473.1,986.6,129,71,58,57.4%,56.3%,58.6%,0.452s
238,32,15%,46,1496.5,473.9,1022.6,129,71,58,57.4%,56.3%,58.6%,0.436s
239,32,15%,47,1480.3,518.7,961.6,128,71,57,57.0%,56.3%,57.9%,0.456s
240,32,15%,48,1504.3,525.9,978.4,128,71,57,57.0%,56.3%,57.9%,0.456s
241,32,15%,49,1340.3,346.7,993.6,126,69,57,56.3%,55.1%,57.9%,0.511s
242,32,15%,50,1326.5,297.7,1028.8,126,69,57,55.6%,53.6%,57.9%,0.442s
243,32,15%,51,1371.3,323.3,1048.0,126,69,57,55.6%,53.6%,57.9%,0.440s
244,32,15%,52,1449.7,397.7,1052.0,126,69,57,55.6%,53.6%,57.9%,0.436s
245,32,15%,53,1507.3,442.5,1064.8,126,69,57,55.6%,53.6%,57.9%,0.438s
246,32,15%,54,1290.3,287.7,1002.6,124,68,56,54.8%,52.9%,57.1%,0.494s
247,32,15%,55,1326.3,296.5,1029.8,124,68,56,54.8%,52.9%,57.1%,0.441s
248,32,15%,56,1438.3,386.1,1052.2,124,68,56,54.8%,52.9%,57.1%,0.437s
249,32,15%,57,1338.9,321.2,1017.8,123,67,56,54.5%,52.2%,57.1%,0.462s
250,32,15%,58,1366.1,329.2,1037.0,123,67,56,54.5%,52.2%,57.1%,0.445s
251,32,15%,59,1395.7,355.5,1040.2,123,67,56,54.5%,52.2%,57.1%,0.481s
252,32,15%,60,1439.7,360.3,1079.4,123,67,56,54.5%,52.2%,57.1%,0.440s
253,32,20%,40,1571.6,702.4,869.2,134,75,59,59.7%,60.0%,59.3%,0.453s
254,32,20%,41,1622.8,713.6,909.2,134,75,59,59.7%,60.0%,59.3%,0.451s
255,32,20%,42,1428.4,588.8,839.6,131,73,58,58.8%,58.9%,58.6%,0.513s
256,32,20%,43,1405.2,534.4,870.8,130,72,58,58.5%,58.3%,58.6%,0.448s
257,32,20%,44,1423.6,534.4,889.2,130,72,58,58.5%,58.3%,58.6%,0.437s
258,32,20%,45,1323.4,403.0,920.4,129,71,58,57.4%,56.3%,58.6%,0.437s
259,32,20%,46,1360.2,403.8,956.4,129,71,58,57.4%,56.3%,58.6%,0.443s
260,32,20%,47,1345.8,448.6,897.2,128,71,57,57.0%,56.3%,57.9%,0.435s
261,32,20%,48,1369.8,455.8,914.0,128,71,57,57.0%,56.3%,57.9%,0.488s
262,32,20%,49,1210.6,281.4,929.2,126,69,57,56.3%,55.1%,57.9%,0.438s
263,32,20%,50,1196.8,232.4,964.4,126,69,57,55.6%,53.6%,57.9%,0.445s
264,32,20%,51,1241.6,258.0,983.6,126,69,57,55.6%,53.6%,57.9%,0.436s
265,32,20%,52,1320.0,332.4,987.6,126,69,57,55.6%,53.6%,57.9%,0.505s
266,32,20%,53,1377.6,377.2,1000.4,126,69,57,55.6%,53.6%,57.9%,0.554s
267,32,20%,54,1167.2,226.8,940.4,124,68,56,54.8%,52.9%,57.1%,0.745s
268,32,20%,55,1203.2,235.6,967.6,124,68,56,54.8%,52.9%,57.1%,0.452s
269,32,20%,56,1315.2,325.2,990.0,124,68,56,54.8%,52.9%,57.1%,0.540s
270,32,20%,57,1219.2,262.0,957.2,123,67,56,54.5%,52.2%,57.1%,0.457s
271,32,20%,58,1246.4,270.0,976.4,123,67,56,54.5%,52.2%,57.1%,0.441s
272,32,20%,59,1276.0,296.4,979.6,123,67,56,54.5%,52.2%,57.1%,0.442s
273,32,20%,60,1320.0,301.2,1018.8,123,67,56,54.5%,52.2%,57.1%,0.490s
274,32,25%,40,1425.6,624.6,801.0,134,75,59,59.7%,60.0%,59.3%,0.444s
275,32,25%,41,1476.8,635.8,841.0,134,75,59,59.7%,60.0%,59.3%,0.436s
276,32,25%,42,1288.4,514.9,773.5,131,73,58,58.8%,58.9%,58.6%,0.699s
277,32,25%,43,1266.9,462.2,804.7,130,72,58,58.5%,58.3%,58.6%,0.563s
278,32,25%,44,1285.3,462.2,823.1,130,72,58,58.5%,58.3%,58.6%,0.456s
279,32,25%,45,1187.2,332.9,854.3,129,71,58,57.4%,56.3%,58.6%,0.438s
280,32,25%,46,1224.0,333.7,890.3,129,71,58,57.4%,56.3%,58.6%,0.440s
281,32,25%,47,1211.3,378.5,832.8,128,71,57,57.0%,56.3%,57.9%,0.481s
282,32,25%,48,1235.3,385.7,849.6,128,71,57,57.0%,56.3%,57.9%,0.443s
283,32,25%,49,1080.9,216.1,864.8,126,69,57,56.3%,55.1%,57.9%,0.445s
284,32,25%,50,1067.1,167.1,900.0,126,69,57,55.6%,53.6%,57.9%,0.446s
285,32,25%,51,1111.9,192.7,919.2,126,69,57,55.6%,53.6%,57.9%,0.492s
286,32,25%,52,1190.3,267.1,923.2,126,69,57,55.6%,53.6%,57.9%,0.440s
287,32,25%,53,1247.9,311.9,936.0,126,69,57,55.6%,53.6%,57.9%,0.442s
288,32,25%,54,1044.2,165.9,878.3,124,68,56,54.8%,52.9%,57.1%,0.439s
289,32,25%,55,1080.2,174.7,905.4,124,68,56,54.8%,52.9%,57.1%,0.539s
